Iteration,Generator Loss,Discriminator Loss,Epoch,FID Score,IS Score
0,1.1552734375,1.8161693811416626,0,101.60482788085938,3.558263063430786
1,1.1240234375,0.0269622802734375,50,93.86839294433594,3.817152500152588
2,0.60009765625,0.426116943359375,100,89.78461456298828,3.9075684547424316
3,1.8984375,0.3309173583984375,150,90.85376739501953,3.858198642730713
4,1.07421875,0.43412017822265625,,,
5,1.8740234375,0.10655975341796875,,,
6,1.041015625,0.35454559326171875,,,
7,1.677734375,0.187591552734375,,,
8,0.921875,0.25928497314453125,,,
9,1.5546875,0.322723388671875,,,
10,1.3798828125,0.1302490234375,,,
11,1.8701171875,0.121856689453125,,,
12,0.97314453125,0.11865997314453125,,,
13,1.5693359375,0.21209716796875,,,
14,1.0654296875,0.1988525390625,,,
15,1.421875,0.361846923828125,,,
16,1.2529296875,1.834473967552185,,,
17,0.94384765625,0.1717376708984375,,,
18,1.587890625,0.27622222900390625,,,
19,1.04296875,0.270660400390625,,,
20,1.6376953125,0.249481201171875,,,
21,1.1669921875,0.06023406982421875,,,
22,1.611328125,0.347381591796875,,,
23,1.1025390625,0.094879150390625,,,
24,1.7451171875,0.14862060546875,,,
25,0.8583984375,0.4334716796875,,,
26,1.673828125,0.191192626953125,,,
27,2.201171875,0.0854034423828125,,,
28,1.427734375,0.5095672607421875,,,
29,0.39697265625,0.229736328125,,,
30,0.89013671875,0.70751953125,,,
31,1.486328125,0.7396392822265625,,,
32,1.1455078125,2.501685619354248,,,
33,1.38671875,0.1787109375,,,
34,1.7578125,0.287261962890625,,,
35,0.9599609375,0.2811279296875,,,
36,1.80859375,0.18023681640625,,,
37,0.99462890625,0.45233154296875,,,
38,1.6328125,0.27777099609375,,,
39,0.98974609375,0.20047760009765625,,,
40,1.76171875,0.26226806640625,,,
41,0.87548828125,0.262176513671875,,,
42,1.46484375,0.32814788818359375,,,
43,1.65625,0.056243896484375,,,
44,0.92626953125,0.23199462890625,,,
45,1.4990234375,0.30322265625,,,
46,2.193359375,0.273040771484375,,,
47,1.544921875,0.705078125,,,
48,0.40966796875,2.344162702560425,,,
49,1.0732421875,0.53564453125,,,
50,1.7578125,0.440643310546875,,,
51,1.291015625,0.26519775390625,,,
52,1.3212890625,0.23858642578125,,,
53,1.7451171875,0.147369384765625,,,
54,1.72265625,0.09930419921875,,,
55,1.0849609375,0.11798095703125,,,
56,1.1884765625,0.625,,,
57,2.427734375,0.117095947265625,,,
58,1.6826171875,0.8949813842773438,,,
59,0.52392578125,0.2137298583984375,,,
60,0.84765625,0.7808837890625,,,
61,1.8515625,0.4896240234375,,,
62,1.3095703125,0.363800048828125,,,
63,0.67529296875,0.11297607421875,,,
64,1.091796875,2.5228054523468018,,,
